Country/Region,Province/State,Confirmed,Recovered,Deaths,Date
India,Haryana,9218,4556,134,6/18/2020
India,Himachal Pradesh,595,382,8,6/18/2020
India,Jammu and Kashmir,5555,3144,71,6/18/2020
India,Jharkhand,1920,1198,11,6/18/2020
India,Karnataka,7944,4983,114,6/18/2020
India,Kerala,2794,1415,21,6/18/2020
India,Ladakh,687,95,1,6/18/2020
India,Madhya Pradesh,11426,8632,486,6/18/2020
India,Maharashtra,120504,60838,5751,6/18/2020
India,Manipur,606,199,0,6/18/2020
India,Meghalaya,44,30,1,6/18/2020
India,Mizoram,130,1,0,6/18/2020
India,Nagaland,193,103,0,6/18/2020
India,Odisha,4512,3144,11,6/18/2020
India,Puducherry,271,109,7,6/18/2020
India,Punjab,3615,2570,83,6/18/2020
India,Rajasthan,13857,10742,323,6/18/2020
India,Sikkim,70,5,0,6/18/2020
India,Tamil Nadu,52334,28641,625,6/18/2020
India,Telangana,6027,3301,195,6/18/2020
India,Tripura,1155,639,1,6/18/2020
India,Unknown,8927,0,0,6/18/2020
India,Uttar Pradesh,15181,9239,465,6/18/2020
India,Uttarakhand,2102,1386,26,6/18/2020
India,West Bengal,12735,7001,518,6/18/2020
India,Andaman and Nicobar Islands,45,35,0,6/19/2020
India,Andhra Pradesh,7961,3917,96,6/19/2020
India,Arunachal Pradesh,103,11,0,6/19/2020
India,Assam,4904,3039,9,6/19/2020
India,Bihar,7181,5098,50,6/19/2020
India,Chandigarh,381,315,6,6/19/2020
India,Chhattisgarh,2028,1331,10,6/19/2020
India,Dadra and Nagar Haveli and Daman and Diu,62,14,0,6/19/2020
India,Delhi,53116,23569,2035,6/19/2020
India,Goa,725,118,0,6/19/2020
India,Gujarat,26141,18159,1618,6/19/2020
India,Haryana,9743,4889,144,6/19/2020
India,Himachal Pradesh,619,388,8,6/19/2020
India,Jammu and Kashmir,5680,3194,75,6/19/2020
India,Jharkhand,1965,1332,11,6/19/2020
India,Karnataka,8281,5210,124,6/19/2020
India,Kerala,2912,1511,21,6/19/2020
India,Ladakh,744,95,1,6/19/2020
India,Madhya Pradesh,11582,8748,495,6/19/2020
India,Maharashtra,124331,62773,5893,6/19/2020
India,Manipur,681,218,0,6/19/2020
India,Meghalaya,44,33,1,6/19/2020
India,Mizoram,130,1,0,6/19/2020
India,Nagaland,198,125,0,6/19/2020
India,Odisha,4677,3297,11,6/19/2020
India,Puducherry,286,118,7,6/19/2020
India,Punjab,3832,2636,92,6/19/2020
India,Rajasthan,14156,10997,333,6/19/2020
India,Sikkim,70,5,0,6/19/2020
India,Tamil Nadu,54449,30271,666,6/19/2020
India,Telangana,6526,3353,198,6/19/2020
India,Tripura,1178,657,1,6/19/2020
India,Unknown,9265,0,0,6/19/2020
India,Uttar Pradesh,15785,9638,488,6/19/2020
India,Uttarakhand,2177,1433,26,6/19/2020
India,West Bengal,13090,7303,529,6/19/2020
India,Andaman and Nicobar Islands,47,36,0,6/20/2020
India,Andhra Pradesh,8452,4111,101,6/20/2020
India,Arunachal Pradesh,135,14,0,6/20/2020
India,Assam,4904,3039,9,6/20/2020
India,Bihar,7533,5529,52,6/20/2020
India,Chandigarh,404,316,6,6/20/2020
India,Chhattisgarh,2041,1394,11,6/20/2020
India,Dadra and Nagar Haveli and Daman and Diu,68,26,0,6/20/2020
India,Delhi,56746,31294,2112,6/20/2020
India,Goa,754,129,0,6/20/2020
India,Gujarat,26680,18694,1638,6/20/2020
India,Haryana,10223,5128,149,6/20/2020
India,Himachal Pradesh,656,413,8,6/20/2020
India,Jammu and Kashmir,5834,3336,81,6/20/2020
India,Jharkhand,1965,1335,11,6/20/2020
India,Karnataka,8697,5391,132,6/20/2020
India,Kerala,3039,1568,21,6/20/2020
India,Ladakh,836,117,1,6/20/2020
India,Madhya Pradesh,11724,8880,501,6/20/2020
India,Maharashtra,128205,64153,5984,6/20/2020
India,Manipur,777,232,0,6/20/2020
India,Meghalaya,44,33,1,6/20/2020
India,Mizoram,140,9,0,6/20/2020
India,Nagaland,201,138,0,6/20/2020
India,Odisha,4856,3534,12,6/20/2020
India,Puducherry,286,118,7,6/20/2020
India,Punjab,3952,2678,98,6/20/2020
India,Rajasthan,14536,11274,337,6/20/2020
India,Sikkim,70,25,0,6/20/2020
India,Tamil Nadu,56845,31316,704,6/20/2020
India,Telangana,7072,3506,203,6/20/2020
